"Outcome","p_raw","p_fdr","signif_label"
"AP_Status",5.40652696573717e-47,3.2439161794423e-46,"***"
"EPE",2.38448775703088e-33,7.15346327109263e-33,"***"
"SVI",1.6614951288857e-21,2.49224269332855e-21,"***"
"Margin",3.51997439002772e-17,4.22396926803326e-17,"***"
"High_GG",1.11157430671899e-23,2.22314861343799e-23,"***"
"Lymph",0.0386921771577718,0.0386921771577718,"*"
